gsd_min,1.75
###,###,-6.785215375436991,-8.967640926018447,-10.963848797949346,-12.791886996351638,-14.47273699126601,-16.02563664512145,-17.46711686202838,-18.81109598787151,-20.069241659972644,-21.25135658335102,-22.365718362165307,-23.41936026917114,-24.418297586920662,-25.367708559606005,-26.272078955005906,-27.135317911790807,-27.960851242381445,-28.751697027295158,-29.51052725222645,-30.239718389750198,-30.9413931735258,-31.617455312604136,-32.26961851117995,-32.8994308664662,-33.50829549244367,-34.097488043535776,-34.668171677386184,-35.221409890592795,-35.75817757852061,-36.27937060495409,-36.78581411541156,-37.278269786439566,-37.75744216985846,-38.22398426399398,-38.67850242205995,-39.12156069001472,-39.553684651586515,-39.9753648461165,-40.38705981490423,-40.78919882346377,-41.182184300195004,-41.56639402619535,-41.942183106078616,-42.30988574557092,-42.6698168581847,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-6.962620779877053,-9.10917957632477,-11.060090339732637,-12.839441397471289,-14.471079304107503,-15.975636570301225,-17.37031574227424,-18.66933563150636,-19.88446852722361,-21.025517401919462,-22.100705081029922,-23.116982305863004,-24.080269406217155,-24.99564590525093,-25.867499922347502,-26.699646650043928,-27.495422991220636,-28.257763727132623,-28.98926328450495,-29.692226193662968,-30.36870860034902,-31.020552648239025,-31.649415139267067,-32.25679156920634,-32.844036400526385,-33.41238025434758,-33.96294456443451,-34.49675412840188,-35.01474790711731,-35.51778835708234,-36.00666952818386,-36.482124117496866,-36.944829636413075,-37.3954138214637,-37.83445939741827,-38.26250828350471,-38.68006531909028,-39.08760157323655,-39.48555729269702,-39.87434453476045,-40.25434952454229,-40.62593477064235,-40.989440968313204,-41.345188715264015,-41.693480061824786,-42.034599914312516,-42.368817307985715,###,###,###,###,###,###,###,###,###,###,###,
###,###,-7.132093188193327,-9.243174506618121,-11.150521305281766,-12.883604642897334,-14.468778157617937,-15.92787136632699,-17.278647576947872,-18.53556344895602,-19.710460919389057,-20.813124404177163,-21.851712776978164,-22.833090892952868,-23.763084289361252,-24.646676031974877,-25.48816008078295,-26.291261844475272,-27.059233802901318,-27.79493202814297,-28.500877943266396,-29.179308571764036,-29.832217736552956,-30.46139008293572,-31.068429366529273,-31.654782123181292,-32.22175759370335,-32.770544590700624,-33.30222585265554,-33.817790320725635,-34.31814368841143,-34.804117507443685,-35.27647708055811,-35.73592833001801,-36.18312379735249,-36.618667902954456,-37.04312157251058,-37.45700631963121,-37.860807859674246,-38.25497931796496,-38.63994408589,-39.016098370293875,-39.38381347491065,-39.743437846971574,-40.095298917442626,-40.43970475939998,-40.77694558572013,-41.10729510443725,-41.431011747717875,-41.748339788355416,###,###,###,###,###,###,###,###,###,###,
###,###,-7.294053400375811,-9.370163563803759,-11.235627086347728,-12.924711065809955,-14.465962241377047,-15.882235772010725,-17.191760561423386,-18.40917798155909,-19.54637036490005,-20.613088220810557,-21.617419354164866,-22.566140537892196,-23.46498326051948,-24.318836606535356,-25.1319038381977,-25.9078245614357,-26.649771041465662,-27.36052489437463,-28.04253872483695,-28.697986099088897,-29.328802392365805,-29.936718432366227,-30.523288406973855,-31.089913168446348,-31.63785981481308,-32.16827823929882,-32.68221519387348,-33.18062630183173,-33.66438636817887,-34.134298269382114,-34.59110065121009,-35.03547462156333,-35.468049591883485,-35.889408394027505,-36.30009177796173,-36.700602378175304,-37.09140822248451,-37.472945845243444,-37.845623057380955,-38.20982141774904,-38.56589844367673,-38.91418959312606,-39.25501004624102,-39.58865631021127,-39.91540766810384,-40.23552748955149,-40.54926441883493,-40.85685345389275,-41.158516928079216,###,###,###,###,###,###,###,###,###,
###,###,-7.448904984404926,-9.490639598569707,-11.315842727160282,-12.963053990290025,-14.462737469433002,-15.838625107800613,-17.109329562888348,-18.289631748364847,-19.391429922160192,-20.42442818970925,-21.396637829603463,-22.314746246372554,-23.184392057186216,-24.01037297042515,-24.796804946888855,-25.5472455825128,-26.264790872094572,-26.952151920097243,-27.61171636548711,-28.245598024388496,-28.855677356486375,-29.44363471515368,-30.010977871091438,-30.559064953171717,-31.089123692706682,-31.6022676638963,-32.09951006644678,-32.581775484019964,-33.04990996546785,-33.50468970834404,-33.94682857129743,-34.37698460019823,-34.79576571965731,-35.20373471505046,-35.60141360879099,-35.9892875173008,-36.36780806105407,-36.737396388553755,-37.098445865634375,-37.45132447366606,-37.79637695374756,-38.13392672856985,-38.46427762910934,-38.7877154495108,-39.10450935031721,-39.41491312749278,-39.71916636238553,-40.017495465813965,-40.31011462778831,-40.597226682939855,###,###,###,###,###,###,###,###,
###,###,-7.59703297811661,-9.605054427386369,-11.391559039729987,-12.998891644898622,-14.459191141327423,-15.79693672174213,-17.03105428827561,-18.17642584070311,-19.24494508494017,-20.246259577081805,-21.18829995588025,-22.077663686256088,-22.919898009765603,-23.71971193107307,-24.48113741448721,-25.207653648750718,-25.902284052950343,-26.56767288101539,-27.20614635887103,-27.819761954178922,-28.41034843962017,-28.979538740625095,-29.528797074059334,-30.05944152989899,-30.572662985547712,-31.069541046148846,-31.551057555905942,-32.018108112269594,-32.47151192776844,-32.91202031668989,-33.34032403097312,-33.75705962804543,-34.16281502030836,-34.55813432960903,-34.943522148844885,-35.31944729572523,-35.686346129797386,-36.04462549247412,-36.394665320463204,-36.73682097529592,-37.07142532526782,-37.39879061078774,-37.71921011969037,-38.03295969533668,-38.34029909718611,-38.64147323086822,-38.93671326252738,-39.226237630295216,-39.510252964107615,-39.788954923678304,-40.06252896323535,###,###,###,###,###,###,###,
###,###,-7.738803263185414,-9.713822494358434,-11.463127882783247,-13.032452109405588,-14.455395298848044,-15.757070988145038,-16.95665748296874,-18.069105094384987,-19.106285844159526,-20.07778253973775,-20.991442157825364,-21.85377221391099,-22.670230299398597,-23.445439409220192,-24.18335070793943,-24.88736839219719,-25.5604467655623,-26.205166632568115,-26.8237960873768,-27.41833937716049,-27.990576546098193,-28.542095875398932,-29.074320638454054,-29.588531328826136,-30.08588425242989,-30.56742717674003,-31.03411258034158,-31.486808932423475,-31.926310344532993,-32.35334486934359,-32.768581668462836,-33.1726372298494,-33.566080782580144,-33.94943903053598,-34.32320030557989,-34.687818223853654,-35.04371491506575,-35.391283883418026,-35.73089254961162,-36.06288451578444,-36.38758158894764,-36.705285593262865,-37.01627999713526,-37.32083137743794,-37.61919074010003,-37.9115947136869,-38.19826663039389,-38.47941750699434,-38.75524693668068,-39.02594390136337,-39.29168751281366,-39.55264769001962,-39.80898577924889,###,###,###,###,###,
###,###,-7.874562430371536,-9.817324233591027,-11.530866729205824,-13.063937469342047,-14.45140944306785,-15.718931971023729,-16.885883192193177,-17.96725377491663,-18.974879736907774,-19.918272552942675,-20.805193403530563,-21.64206028477574,-22.434243024776528,-23.186281290924644,-23.902048526263197,-24.58487716766206,-25.237655643793804,-25.86290447235372,-26.46283665099348,-27.03940608836656,-27.594346817432715,-28.12920502541758,-28.64536542859428,-29.144073153001365,-29.626452012695108,-30.093519876917647,-30.5462016672061,-30.985340411413787,-31.411706694278056,-31.82600677670655,-32.228889603406536,-32.62095287724087,-33.002748346085625,-33.374786422010224,-33.73754023180352,-34.091449181107016,-34.43692210082668,-34.77434003341452,-35.104058707534165,-35.42641074214825,-35.74170761488048,-36.05024142436527,-36.352286472007165,-36.64810068497857,-36.93792689925752,-37.22199401895607,-37.50051806602288,-37.773703132565416,-38.041742246465446,-38.30481815961876,-38.5631040669764,-38.8167642635713,-39.065954745857454,-39.310823762945994,###,###,###,###,
###,###,-8.004637998370113,-9.915909141751149,-11.595062627107646,-13.093527318866988,-14.44728274080029,-15.68242783762715,-16.81849510563472,-17.870491719145853,-18.850205742950596,-19.76707207940245,-20.62876470228458,-21.44161286168701,-22.210900617914962,-22.94108695705828,-23.635970554870454,-24.298815144751128,-24.93244631614154,-25.53932724346783,-26.12161863969078,-26.681226735162056,-27.219842052668596,-27.738971027297016,-28.239962005327335,-28.724026784745742,-29.192258587985865,-29.64564715604397,-30.085091502213096,-30.511410749477434,-30.925353388343186,-31.327605224600504,-31.7187962341972,-32.099506501410694,-32.47027138413954,-32.83158602440817,-33.183909301589765,-33.52766730927607,-33.863256423296875,-34.19104601746013,-34.511380874630554,-34.82458333340229,-35.130955204531055,-35.43077948623658,-35.724321903268795,-36.01183229110024,-36.293545843637496,-36.56968424033993,-36.84045666651078,-37.10606073872281,-37.36668334580222,-37.622501414479196,-37.87368260768525,-38.12038596250436,-38.36276247394934,-38.600955630006425,-38.83510190276443,###,###,###,
###,###,-8.129338881831195,-10.009898575915471,-11.655975643057854,-13.121381725380083,-14.44305582213031,-15.647471086937687,-16.754274997416562,-17.778470883385246,-18.731788912109444,-19.62358329494995,-20.461439978432182,-21.251600506332842,-21.999265234660825,-22.708815061281264,-23.383976722904656,-24.02794813756312,-24.643494900258407,-25.233025584673957,-25.798651227668085,-26.342232841121994,-26.865419744259313,-27.36968077521445,-27.85632991951096,-28.32654751787199,-28.781397941943275,-29.221844424186045,-29.648761577000105,-30.062946021949077,-30.465125462868876,-30.85596646960791,-31.236081187110297,-31.60603314383283,-31.96634230138045,-32.317489461754725,-32.65992012823313,-32.99404789950877,-33.32025746346132,-33.63890724613935,-33.95033176271027,-34.25484370987801,-34.552735833275406,-34.84428259836372,-35.12974168922692,-35.40935535617823,-35.68335163018104,-35.951945419627364,-36.21533950293541,-36.4737254286594,-36.72728433329725,-36.97618768569435,-37.22059796583461,-37.46066928486051,-37.69654795234378,-37.92837299611756,-38.156276639367675,-38.380384739143295,###,###,
